,PC1,PC2
0,213.4717,-43.454765
1,218.70024,7.7881274
2,55.72585,-16.64796
3,-159.71648,-14.528977
4,-57.022533,-31.735218
5,-102.30125,26.36843
6,-343.42667,35.791683
7,-25.144875,25.720282
8,-286.66287,-21.27152
9,-45.251755,-12.117834
10,202.378,9.855513
11,-78.50682,18.304285
12,-84.54386,-23.231926
13,-58.15939,-35.67241
14,-61.752644,23.003105
15,-90.70081,-5.4348946
16,-91.41362,-23.183836
17,-11.480755,8.916113
18,71.70062,51.616863
19,25.530352,16.857685
20,49.021,-44.95704
21,-225.7168,39.00151
22,126.43315,-23.779657
23,-15.932474,6.0800905
24,104.55173,-46.081257
25,48.13802,-14.808009
26,108.10023,10.296609
27,75.91192,-43.995987
28,253.96922,10.572934
29,18.955494,-15.500854
30,55.34991,-8.710086
31,347.66736,-31.00052
32,24.113592,27.416822
33,-536.46387,9.8822775
34,-83.65981,4.608349
35,61.86301,8.240702
36,-183.25456,-5.193032
37,182.61943,24.131432
38,-141.47609,-16.094324
39,-100.96361,-63.88273
40,-29.284332,-1.1927385
41,-41.05987,-49.403454
42,-381.558,-13.786767
43,-237.74838,-22.137072
44,15.811523,-6.299931
45,83.70693,35.495327
46,-199.32164,-12.125764
47,96.82668,-6.9636164
48,-171.86803,-32.551163
49,-150.90878,-19.164494
50,337.89688,15.388446
51,43.389774,2.2283118
52,35.56312,-40.333344
53,-331.1452,-30.7712
54,-202.76634,0.49377093
55,-131.8448,26.899635
56,-18.558256,6.692767
57,611.0136,2.545176
58,-25.226183,17.288195
59,74.062996,-9.060393
60,-104.491425,-6.874692
61,368.57037,32.388096
62,-24.175045,31.969759
63,115.74276,-52.676464
64,-38.63727,-39.18269
65,-127.42274,16.460215
66,-154.78278,5.058634
67,92.15908,-21.473644
68,21.247229,-11.639928
69,83.89094,-0.13119563
70,9.043025,-17.857546
71,162.77547,-11.144733
72,113.68201,8.551963
73,-26.558609,8.990241
74,17.618818,39.14641
75,-29.697098,15.911947
76,228.9979,-16.318172
77,159.61533,-33.661575
78,-22.740973,-30.218079
79,14.834498,9.5238085
80,79.36202,-38.281876
81,-73.967865,57.455917
82,-53.110226,-45.005177
83,494.48914,63.66605
84,3.8780613,35.52723
85,371.14056,49.44399
86,-13.275616,17.51021
87,-292.46353,20.49102
88,92.579285,-31.287645
89,-74.8332,-33.806858
90,153.27475,2.0991366
91,-59.081997,46.193142
92,86.7433,27.29633
93,55.10824,-17.791641
94,-184.04556,28.64604
95,3.5100937,-25.637953
96,44.783073,-2.8219142
97,-45.33964,9.84353
98,-7.425029,34.868164
99,-399.52725,-44.078117
100,218.59229,6.1943216
101,103.61858,17.453207
