,PC1,PC2
0,-12.410144,8.269117
1,-14.569334,-7.903358
2,-6.663529,1.4378389
3,12.790336,14.260383
4,-11.505634,10.644398
5,-13.328721,11.817965
6,11.077187,0.6943826
7,19.10583,5.4111514
8,18.492105,9.622158
9,4.090118,-13.670753
10,-3.7510502,4.801292
11,-5.032182,-6.2236485
12,21.096323,3.672123
13,-3.8245842,3.6686049
14,11.119256,-0.521892
15,-11.448215,-3.7083633
16,-14.102977,3.7760525
17,-5.4359517,-7.785537
18,8.881276,3.115432
19,-12.573916,8.693395
20,-2.153942,-14.708485
21,-12.087369,-6.1475024
22,-13.704248,-6.9071317
23,-11.021796,10.11494
24,2.6138365,-1.2437512
25,-2.4214845,-11.779356
26,-1.9084032,-14.693646
27,-7.2865715,4.4155293
28,2.4550772,3.8088942
29,17.631783,-0.9137704
30,-3.2118583,2.4733622
31,-11.586345,2.6163428
32,-0.8289566,-15.005476
33,-3.4694722,2.029234
34,-12.275159,4.8230047
35,16.314838,0.71067864
36,-8.000896,5.6746616
37,-12.877584,13.322493
38,-6.3177233,-8.329554
39,12.106348,0.82574135
40,6.8312607,-7.437925
41,0.21670601,2.0115936
42,-11.297576,-1.971145
43,17.780624,6.1905007
44,-4.510292,6.3083334
45,1.485998,4.135073
46,-1.0253354,10.486643
47,-14.7146015,8.441142
48,13.925929,3.08438
49,-9.791703,9.182095
50,14.938784,0.86077505
51,16.087109,1.7672371
52,18.490856,2.5551753
53,14.996251,8.491285
54,20.043493,3.5240536
55,13.469578,6.6409035
56,4.58508,4.9127574
57,-14.711009,-2.1143835
58,-17.25512,8.113932
59,-4.4110665,-0.641647
60,14.535701,-0.2351022
61,-6.6538196,4.572445
62,17.687263,3.8493555
63,5.153134,-4.6441894
64,-3.6188056,10.746197
65,21.61377,5.4075527
66,-10.450495,0.9290876
67,-9.51677,-1.3012549
68,4.597245,-12.51462
69,-1.2622751,-1.5957127
70,-6.839031,1.5346216
71,-8.243171,10.699195
72,-1.3486465,6.7427664
73,16.556087,2.9094636
74,-2.54087,4.062879
75,-1.8179693,-14.6280155
76,-9.115574,11.628607
77,19.68157,2.7849753
78,-7.287234,-6.404674
79,13.45018,4.0630693
80,-9.2857,3.766879
81,-14.020983,5.94935
82,-1.782699,-0.2525519
83,19.074623,3.7996862
84,-8.71649,13.880906
85,20.324812,-1.1080992
86,-4.799595,-11.225259
87,-13.08653,-1.6574212
88,-2.9967735,-0.032534927
89,-2.5655632,-13.164819
90,3.094993,0.14121827
91,-13.91082,4.138785
92,-4.970168,-6.4826307
93,6.047911,5.0434895
94,-9.750957,-5.7116833
95,-12.564801,5.5852904
96,-3.0620239,-4.9609647
97,-10.591272,-0.42787117
98,-0.9913119,-14.659321
99,-9.729576,-0.90769446
100,14.591159,1.4143963
101,14.521321,-2.863046
102,10.841752,0.84058464
103,-17.784147,-3.7919693
104,21.822306,0.86208475
105,-12.262312,-9.428083
106,8.634062,0.5543386
107,-2.9672606,-15.892738
108,8.921146,-1.9832846
109,-6.2100954,-3.103356
110,17.374525,2.2148998
111,-4.2737656,-10.196229
112,-7.700984,6.4223804
113,6.471387,-3.1434062
114,5.510016,-13.477225
115,-5.2841,2.6245255
116,15.269404,-2.5346417
117,-9.1136675,6.602361
118,-0.32109272,-15.07379
119,-7.794628,6.954284
120,8.790298,-0.626829
121,2.7421148,-11.392982
122,-5.139386,-8.447164
123,14.17008,3.2740402
124,-1.8274287,-11.2110195
125,17.026562,-0.8282451
126,2.2716575,-14.523817
127,-2.3664718,-12.580726
128,-6.662079,-9.474966
129,13.55122,-0.6939859
130,-11.843699,2.396616
131,14.073202,2.5546556
132,-7.6522427,-1.0332317
133,-12.003391,-0.7866251
134,-13.430149,6.4790344
135,-9.019689,7.4141364
136,-12.931858,-0.17935906
137,-13.251932,11.030668
138,-6.3090663,1.5326376
139,11.876311,3.5159664
140,-15.953442,7.545974
141,3.0855885,2.9800165
142,-4.498503,-6.1159706
143,-3.836877,7.8463483
144,-15.963517,-0.40523502
145,-7.86176,-5.1193023
146,-12.543034,7.592135
147,-0.30314204,-14.485113
148,-4.97553,-10.331501
149,-3.8053477,3.6684866
150,4.3777266,-11.84671
151,-5.8436203,1.8690149
152,-13.768116,3.317815
153,3.5689135,-13.824963
154,-11.891981,2.9345195
155,-9.937771,-1.8356135
156,16.193195,2.9682198
157,-9.80622,-3.7931619
158,-6.4998107,-7.604473
159,14.009848,6.9631405
160,3.1405146,-1.2333212
161,-15.027961,2.3278353
162,17.447947,2.2474146
163,2.8102925,-11.147231
164,19.299515,0.9871047
165,13.468012,4.0137887
166,14.692844,-3.9846866
167,0.57327294,-6.339123
168,12.279843,-3.1434948
169,3.1543918,-8.559366
170,-4.854688,-7.771757
171,19.79889,4.5944867
172,10.029315,0.41538465
173,-13.758246,-7.1745086
174,-4.985461,7.809775
175,-10.580905,-1.3905963
176,4.0116296,-12.908755
177,-12.251728,-1.2631614
178,19.40637,4.3070784
179,2.8856468,-1.6620724
180,-14.719662,7.4255104
181,9.591025,3.1630754
182,15.805951,-0.8282197
183,-0.93070847,10.501766
184,21.130022,4.5809793
185,4.569866,-2.3461804
186,-2.7450943,-13.533995
187,-12.423751,8.275632
188,-14.045572,-0.8067611
189,3.3782918,7.7531166
190,13.495567,10.818429
191,8.32661,5.435286
192,11.995986,5.648798
193,-5.7254944,3.6511736
194,4.932716,8.095012
195,7.502141,-1.5661789
196,3.9466672,4.388845
197,18.439037,-2.0689402
198,8.623823,-10.982238
199,5.2319083,6.039282
200,-9.816034,-5.80602
201,-7.2089357,8.60133
202,-1.7862586,-14.5427685
203,16.584541,3.5236003
204,-1.24883,-9.43333
205,20.88235,2.4149122
206,-12.751717,3.8588216
207,-12.293869,16.756052
208,-11.835255,-2.8118608
209,15.599176,4.5930834
210,-11.247974,2.7700987
211,3.887968,4.4174957
212,-2.082526,-14.761414
213,3.1821382,2.1451547
214,-9.139238,6.1838346
215,-9.27064,4.9462147
216,12.978527,-3.0686002
217,11.349153,4.0225677
218,-12.645472,9.559595
219,-6.089722,-10.035645
220,3.2777247,-5.971626
221,5.880987,-12.311578
222,-9.81892,4.274443
223,-2.679053,-15.598352
224,16.150259,2.3109207
225,17.180054,5.0591197
226,-7.577301,4.582907
227,7.850754,8.516303
228,-10.853527,1.9640448
229,-1.378294,-14.2147665
230,12.963668,0.7110848
231,4.626288,0.95030224
232,-0.6412762,-14.555976
233,14.264228,2.6673563
234,-7.212583,6.3560157
235,-11.7667055,5.8797145
236,-2.9933064,4.3981504
237,-11.891508,-2.869057
238,-3.7487478,9.5567255
239,-17.2886,-6.3691955
240,14.013697,-0.07233844
241,-7.829803,7.5331764
242,-12.392145,8.102245
243,-2.5178993,-1.9360967
244,23.360737,6.05677
245,9.802303,-1.4012625
246,-10.067295,5.100423
247,-10.613496,5.2588353
248,2.342864,-1.2382922
249,-5.2445045,-6.927774
250,14.31826,4.816913
251,-12.551655,7.7285147
252,-6.1448717,5.9142966
253,3.8258562,-9.654933
254,6.7671714,1.2323353
255,-1.0294095,-12.853069
256,19.195412,0.9046021
257,-4.7608585,9.406954
258,-10.366812,8.059591
259,-11.673919,-5.7348757
260,-13.0612955,3.3842888
261,-9.470436,-12.082799
262,-4.3382077,-10.195113
263,-14.479298,-6.9045615
264,-14.138785,2.6467593
265,-0.02624007,8.117363
266,-9.7392,5.607033
267,-8.692391,0.98371416
268,19.788116,4.847734
269,-9.448097,10.609616
270,-4.989005,-8.956352
271,21.458612,6.4470906
272,-13.324057,1.350871
273,-12.167938,16.237833
274,-13.447039,5.692882
275,7.975714,-1.5536493
276,-0.4751975,-11.90055
277,-14.848738,5.1952844
278,-12.702407,2.3476255
279,-5.0233774,-11.813868
280,13.744751,-0.06626986
281,7.9192214,4.006994
282,2.9333436,4.8387604
283,-9.29336,-4.6923995
284,-12.514777,8.084734
